#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 04 21 00 999 99.0 99.0  2.81 16.67 10.47 273 9999.0  11.7  11.8 999.0 99.0 99.00
2022 01 04 21 30 999 99.0 99.0  3.17 16.67 11.26 275 9999.0  11.6  11.9 999.0 99.0 99.00
2022 01 04 22 00 999 99.0 99.0  3.07 15.38 11.09 277 9999.0  11.3  11.9 999.0 99.0 99.00
2022 01 04 22 30 999 99.0 99.0  2.88 16.67 10.58 276 9999.0  11.6  11.8 999.0 99.0 99.00
2022 01 04 23 00 999 99.0 99.0  3.24 15.38 11.07 275 9999.0  11.4  11.8 999.0 99.0 99.00
2022 01 04 23 30 999 99.0 99.0  3.01 15.38 10.80 279 9999.0  10.7  11.7 999.0 99.0 99.00
2022 01 05 00 00 999 99.0 99.0  3.10 15.38 10.78 274 9999.0  11.0  11.7 999.0 99.0 99.00
2022 01 05 00 30 999 99.0 99.0  3.16 14.29 11.09 273 9999.0  10.7  11.7 999.0 99.0 99.00
2022 01 05 01 00 999 99.0 99.0  3.14 15.38 10.72 275 9999.0  10.6  11.6 999.0 99.0 99.00
2022 01 05 01 30 999 99.0 99.0  2.97 15.38 10.78 276 9999.0  10.6  11.6 999.0 99.0 99.00
2022 01 05 02 00 999 99.0 99.0  3.23 14.29 10.91 274 9999.0  10.7  11.5 999.0 99.0 99.00
2022 01 05 02 30 999 99.0 99.0  2.86 15.38 10.67 279 9999.0  10.7  11.5 999.0 99.0 99.00
2022 01 05 03 00 999 99.0 99.0  2.73 15.38 10.39 276 9999.0  10.6  11.4 999.0 99.0 99.00
2022 01 05 03 30 999 99.0 99.0  2.77 14.29 10.37 277 9999.0  10.6  11.4 999.0 99.0 99.00
2022 01 05 04 00 999 99.0 99.0  3.13 15.38 10.98 276 9999.0  10.5  11.3 999.0 99.0 99.00
2022 01 05 04 30 999 99.0 99.0  3.14 14.29 10.95 274 9999.0  10.6  11.3 999.0 99.0 99.00
2022 01 05 05 00 999 99.0 99.0  2.84 15.38 10.46 272 9999.0  10.8  11.3 999.0 99.0 99.00
2022 01 05 05 30 999 99.0 99.0  2.87 13.33 10.48 272 9999.0  10.8  11.3 999.0 99.0 99.00
2022 01 05 06 00 999 99.0 99.0  2.91 15.38 11.03 274 9999.0  10.8  11.3 999.0 99.0 99.00
2022 01 05 06 30 999 99.0 99.0  2.80 14.29 10.66 275 9999.0  10.9  11.3 999.0 99.0 99.00
2022 01 05 07 00 999 99.0 99.0  2.67 13.33 10.68 280 9999.0  11.0  11.3 999.0 99.0 99.00
2022 01 05 07 30 999 99.0 99.0  2.83 15.38 11.08 278 9999.0  11.1  11.3 999.0 99.0 99.00
2022 01 05 08 00 999 99.0 99.0  2.63 15.38 10.65 278 9999.0  11.1  11.4 999.0 99.0 99.00
2022 01 05 08 30 999 99.0 99.0  2.41 13.33 10.37 275 9999.0  11.2  11.4 999.0 99.0 99.00
2022 01 05 09 00 999 99.0 99.0  2.61 14.29 10.89 278 9999.0  11.3  11.4 999.0 99.0 99.00
2022 01 05 09 30 999 99.0 99.0  2.51 14.29 10.69 276 9999.0  11.5  11.4 999.0 99.0 99.00
2022 01 05 10 00 999 99.0 99.0  2.38 15.38 10.43 273 9999.0  11.5  11.4 999.0 99.0 99.00
