#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 04 20 30 999 99.0 99.0  3.36 20.00  9.88 270 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 21 00 999 99.0 99.0  3.34 18.18 10.11 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 21 30 999 99.0 99.0  3.36 18.18 10.25 265 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 04 22 00 999 99.0 99.0  3.05 18.18  9.42 271 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 04 22 30 999 99.0 99.0  2.93 18.18  9.15 268 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 04 23 00 999 99.0 99.0  3.07 16.67  9.62 271 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 04 23 30 999 99.0 99.0  2.85 14.29  9.27 270 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 05 00 00 999 99.0 99.0  3.11 16.67  9.63 272 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 05 00 30 999 99.0 99.0  2.82 16.67  9.22 271 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 05 01 00 999 99.0 99.0  3.05 18.18 10.21 266 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 05 01 30 999 99.0 99.0  3.03 16.67 10.39 270 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 05 02 00 999 99.0 99.0  3.07 15.38 10.45 271 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 02 30 999 99.0 99.0  2.96 18.18 10.17 273 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 03 00 999 99.0 99.0  3.17 15.38 10.44 272 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 03 30 999 99.0 99.0  3.14 18.18 10.08 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 04 00 999 99.0 99.0  3.03 16.67 10.04 268 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 04 30 999 99.0 99.0  3.12 14.29 10.40 270 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 05 00 999 99.0 99.0  3.17 18.18 10.44 266 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 05 30 999 99.0 99.0  2.71 14.29  9.58 271 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 06 00 999 99.0 99.0  3.15 18.18 10.35 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 06 30 999 99.0 99.0  3.20 15.38 10.72 268 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 05 07 00 999 99.0 99.0  3.21 15.38 10.23 270 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 05 07 30 999 99.0 99.0  3.26 15.38 10.35 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 05 08 00 999 99.0 99.0  3.21 16.67 10.41 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 05 08 30 999 99.0 99.0  3.13 16.67 10.45 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 05 09 00 999 99.0 99.0  3.05 16.67 10.59 269 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 05 09 30 999 99.0 99.0  3.15 18.18 10.61 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 05 10 00 999 99.0 99.0  3.22 18.18 10.39 266 9999.0 999.0  10.9 999.0 99.0 99.00
